Ref seq. name,sequence length,# of reads mapped,# of reads unmapped
ATP6V0D2,2446,1,0
C4BPB,1992,1,0
MOGAT3,2132,1,0
FGL1,1967,1,0
UAP1L1,4412,1,0
UBR4,15906,1,0
CCNC,2473,1,0
CCNK,5627,1,0
UAP1,2377,1,0
LRIG2,11555,1,0
A1CF,9517,1,0
SDHA,3001,1,0
DLG5,7507,1,0
GRWD1,5571,1,0
R3HCC1L,3379,1,0
GABRG3,10768,1,0
AHSA2,6574,1,0
BTN3A3,4547,1,0
NOL12,2854,1,0
AMDHD2,3273,1,0
INPP5F,5063,1,0
HOMEZ,4971,1,0
AC011288.2,575,1,0
SPDYE2B,1742,1,0
MTRNR2L10,1530,1,0
UBQLN4,3576,1,0
MDS2,1781,1,0
ENTPD4,5861,1,0
MED12L,10744,1,0
PGM3,6107,1,0
PPP1R12A,5721,1,0
PPP1R12C,4141,1,0
CEP95,3641,1,0
NATD1,4931,1,0
ANGPTL4,1879,1,0
MMP11,3823,1,0
CDAN1,4637,1,0
RTN2,2357,1,0
AHSG,1711,1,0
HYOU1,4529,1,0
DDX51,4718,1,0
DDX56,3028,1,0
DNAH1,13300,1,0
GNB4,6434,1,0
CDCP1,6006,1,0
SYMPK,6537,1,0
CTA-796E4.5,31717,1,0
CLN3,3081,1,0
HRAS,1233,1,0
AC138430.4,5409,1,0
SH3YL1,3540,1,0
RARRES2,1907,1,0
AC002429.5,2569,1,0
PDE6A,5706,1,0
HNRNPH3,3356,1,0
DCAF13,5300,1,0
SLC30A9,6218,1,0
C8orf37,3334,1,0
ZNF397,5251,1,0
WDR26,6872,1,0
KIF1B,10669,1,0
SELENBP1,2840,1,0
AP001057.1,799,1,0
POFUT2,4825,1,0
SNX10,2613,1,0
SLFN5,10591,1,0
SPINT2,3807,1,0
CD226,12319,1,0
CNPPD1,2073,1,0
RAD54L2,9776,1,0
APOA1,1227,1,0
XPO1,6776,1,0
XPOT,6414,1,0
GIT2,5466,1,0
LINC01107,1975,1,0
CTA-243E7.3,2059,1,0
LINC00273,1452,1,0
MED1,5844,1,0
TCF4,8317,1,0
TCF7,5340,1,0
TCF3,4451,1,0
ISLR2,4817,1,0
AP3S2,5891,1,0
IGLON5,2606,1,0
CD33,4728,1,0
R3HDM1,4648,1,0
ACAD9,2454,1,0
UEVLD,4156,1,0
ADAMTS13,4934,1,0
GALE,2073,1,0
PIEZO2,9718,1,0
DBH-AS1,2139,1,0
RHOH,4305,1,0
ZNF486,3837,1,0
TMEM184A,6276,1,0
LINC01314,6890,1,0
AC009133.12,2449,1,0
TTTY15,5284,1,0
MICA,2260,1,0
DHRS1,2660,1,0
FLT1,7092,1,0
SUGP2,5565,1,0
MAP3K3,4818,1,0
MAP3K4,5490,1,0
DZIP1,7418,1,0
FARSB,3369,1,0
MUM1,4067,1,0
FAM161B,4078,1,0
KIAA0368,7391,1,0
LRRN4CL,2585,1,0
VKORC1L1,5899,1,0
ZNF169,2716,1,0
IQCB1,2594,1,0
EMC9,953,1,0
EMC3,2777,1,0
EMC4,2019,1,0
DHX33,5618,1,0
DHX35,3325,1,0
BX004987.4,2237,1,0
ABCC9,8293,1,0
ATAD3C,3859,1,0
NDUFB4,1426,1,0
KANSL1,9123,1,0
RBM38,2382,1,0
pk,7179,1,0
NWD1,8393,1,0
TENM2,9427,1,0
STEAP2,7033,1,0
STEAP4,9988,1,0
CBS,2656,1,0
ETFA,2287,1,0
PRR26,7250,1,0
PPP1R16A,4311,1,0
ITIH3,3038,1,0
INTS2,5878,1,0
INTS6,15428,1,0
MPP5,5552,1,0
MFI2,3963,1,0
PPRC1,5330,1,0
SUMF2,2052,1,0
MB21D1,3182,1,0
STK35,6685,1,0
GATM-AS1,1424,1,0
AC096669.1,648,1,0
C11orf72,2431,1,0
RSG1,1545,1,0
CAND1,11251,1,0
CAMK4,12240,1,0
MTCL1,6093,1,0
ATG4B,3294,1,0
DPYSL2,4603,1,0
PPP6R2,4104,1,0
CA5B,6835,1,0
GALR2,1364,1,0
MRPL27,2441,1,0
MRPL21,2283,1,0
RNF138,3570,1,0
PGBD5,10319,1,0
HNF4A-AS1,648,1,0
MYO19,5743,1,0
WRAP53,4011,1,0
RP5-1165K10.2,2076,1,0
ZFAND3,3366,1,0
SLC39A13,3553,1,0
LRPAP1,7819,1,0
EVI5,7436,1,0
DR1,10148,1,0
RASSF4,4350,1,0
MPI,5828,1,0
AC009227.2,2362,1,0
ACAT1,2258,1,0
LIMD1,11331,1,0
ZFYVE27,3047,1,0
IARS,4656,1,0
SLC37A3,3488,1,0
CDK18,3756,1,0
CDK10,3344,1,0
AC008278.3,568,1,0
SPECC1L-ADORA2A,6204,1,0
SPEN,12232,1,0
PTCD2,11151,1,0
GNAL,6535,1,0
AGFG1,8668,1,0
MSI1,2975,1,0
WWC1,7130,1,0
RNF8,5631,1,0
RPL10,2318,1,0
HIPK1,8157,1,0
LARP7,2332,1,0
FOXJ3,5352,1,0
ZNF346,2774,1,0
NUDT19,2967,1,0
STX4,1588,1,0
KIF22,2505,1,0
TFRC,5111,1,0
BLVRA,1161,1,0
CCDC30,6827,1,0
KLHL24,7380,1,0
TRIM40,2086,1,0
TAF1A,1966,1,0
HMGN2,1496,1,0
ERLIN2,6073,1,0
CTB-89H12.4,8636,1,0
TNFAIP8,8681,1,0
CPSF7,3695,1,0
CPSF1,4494,1,0
TTLL3,5282,1,0
FAM126B,9333,1,0
SRSF1,3117,1,0
MCU,3224,1,0
NISCH,5350,1,0
HCG11,3130,1,0
CRK,3880,1,0
CD68,1878,1,0
CTB-131B5.2,3025,1,0
PKN3,3375,1,0
NGDN,2763,1,0
CTC-277H1.6,1675,1,0
RFTN2,5827,1,0
CIC,8218,1,0
SRF,4202,1,0
MTAP,7557,1,0
C2orf48,1897,1,0
KCNIP2,2617,1,0
RPS6KA3,7918,1,0
RGPD6,7165,1,0
RGPD5,7253,1,0
LINC00671,1958,1,0
RAB29,3272,1,0
ELK4,10239,1,0
TPM4,2672,1,0
FBXW5,2392,1,0
AC007036.4,437,1,0
TUB,6420,1,0
INIP,4233,1,0
PNKP,2111,1,0
KAT5,2296,1,0
MS4A10,2296,1,0
MSRB3,4417,1,0
PLAG1,7322,1,0
CD151,1803,1,0
WDR45,3079,1,0
TLK1,5726,1,0
ASCC3,8146,1,0
ZNF557,5736,1,0
LEMD1-AS1,2781,1,0
RPL39,1915,1,0
ATF6,7496,1,0
PPWD1,2195,1,0
B3GALT5,13170,1,0
SENP5,6308,1,0
ECHDC3,1767,1,0
LCOR,7777,1,0
MAGI1,7415,1,0
SARS,1882,1,0
KIAA1161,6398,1,0
ADAMTSL5,2857,1,0
CYP4F12,3256,1,0
TRPV1,4753,1,0
FGFR1,6054,1,0
ALDH16A1,3995,1,0
RP5-1142A6.9,1845,1,0
BIRC5,2711,1,0
ANKRD17,10784,1,0
ANKRD12,11288,1,0
CRY1,3834,1,0
OTUD6A,1689,1,0
HAUS4,1642,1,0
HAUS2,3949,1,0
DTX3L,5868,1,0
CH507-338C24.1,7632,1,0
LY6E,1419,1,0
ARHGEF10L,4585,1,0
DNASE1,8552,1,0
SMTN,5080,1,0
D2HGDH,4549,1,0
MITD1,3270,1,0
SCAF1,4306,1,0
RBM6,4324,1,0
COA1,3223,1,0
CTA-315H11.2,2241,1,0
ARSE,2506,1,0
ARSA,2050,1,0
ZNF232,2384,1,0
MRE11A,6897,1,0
LOH12CR1,4840,1,0
VRK3,2197,1,0
CRYL1,1581,1,0
FAM184B,6622,1,0
PLEKHB1,2380,1,0
SEC13,2374,1,0
TRIM73,3875,1,0
DNAJC2,3033,1,0
SORT1,7028,1,0
MIDN,3790,1,0
KCNMB4,4731,1,0
SPECC1L,6756,1,0
PLXNB1,7308,1,0
SIRT2,4734,1,0
PGAP3,3028,1,0
SFXN1,4231,1,0
ATN1,4351,1,0
LRRC2,5100,1,0
GPR123,6004,1,0
ATP1B1,2608,1,0
ORAI1,2138,1,0
SMEK2,5243,1,0
MED15,4701,1,0
MED16,3420,1,0
MED17,4874,1,0
KIAA1257,6034,1,0
MLEC,6626,1,0
SLC30A7,7898,1,0
BCL7A,6247,1,0
CLCC1,4803,1,0
KMT2A,16602,1,0
MACF1,24828,1,0
MPPE1,4236,1,0
NCBP1,5178,1,0
LILRB3,2848,1,0
CHTF18,4494,1,0
GS1-124K5.3,746,1,0
SRD5A3-AS1,1617,1,0
COL16A1,5736,1,0
NINJ1,2026,1,0
HECTD1,9134,1,0
SLC15A1,3106,1,0
LLGL1,6004,1,0
ABCF3,2844,1,0
ABCF2,3546,1,0
ABCF1,3481,1,0
AC009502.4,1965,1,0
SH3BP5L,4122,1,0
KCNJ5,5940,1,0
TOP1,3738,1,0
TBRG1,4468,1,0
PLEKHJ1,2858,1,0
RNF44,4155,1,0
IL17RA,8607,1,0
RP5-832C2.5,2101,1,0
OSBPL2,4009,1,0
OSBPL6,10513,1,0
SVIL-AS1,2025,1,0
LINC00680,2622,1,0
LGSN,5213,1,0
SS18,3414,1,0
TMEM177,1738,1,0
CCL5,1365,1,0
SKOR2,3048,1,0
CTB-193M12.4,1575,1,0
LUC7L3,7040,1,0
FAM131A,3677,1,0
GFOD2,5507,1,0
TINCR,3733,1,0
THRAP3,4432,1,0
MCM7,3084,1,0
CTC-523E23.5,5302,1,0
EP400,12836,1,0
SART3,4004,1,0
PDZD7,4433,1,0
RNF169,7823,1,0
RP5-1112D6.8,4315,1,0
FDXR,2482,1,0
MRPL57,2246,1,0
DSTYK,7874,1,0
SIRPB2,2642,1,0
ATXN2,4702,1,0
ATXN1,10602,1,0
SPDYE1,2649,1,0
SPDYE2,1742,1,0
FAM129C,5115,1,0
RNPS1,3337,1,0
USF2,2742,1,0
EHBP1,5165,1,0
TCHP,3428,1,0
PCBD2,5621,1,0
ADPGK,4576,1,0
CRCP,3139,1,0
CASP7,2659,1,0
AKT2,5300,1,0
HYAL2,4054,1,0
SRP19,2841,1,0
UNC13D,4393,1,0
STAU1,3684,1,0
C4A,5460,1,0
ARIH2OS,1598,1,0
PDLIM1,1452,1,0
TNK2,5940,1,0
GPR157,5265,1,0
TM4SF5,932,1,0
RTN3,4937,1,0
BAIAP2,3689,1,0
IER3,1350,1,0
LINC01558,1652,1,0
XRCC1,2802,1,0
SUZ12,4491,1,0
MYRF,5927,1,0
TINAGL1,4759,1,0
KIAA0100,7407,1,0
LRTOMT,3604,1,0
OCEL1,1485,1,0
GAK,4442,1,0
ZNF660,5834,1,0
ZNF667,5250,1,0
GPR1-AS,3708,1,0
EHD2,3585,1,0
PDIA5,2232,1,0
AC005754.8,2086,1,0
ADIPOQ,4599,1,0
MUC6,14829,1,0
PHKG1,2226,1,0
XXbac-BPG249D20.9,851,1,0
ADARB1,6882,1,0
ZNF587B,3339,1,0
PPP1R9A,10090,1,0
EPS8L3,2325,1,0
AC243824.1,5116,1,0
PRMT8,5899,1,0
C1orf229,2258,1,0
PRICKLE1,5811,1,0
SLC16A10,10051,1,0
PLIN3,2333,1,0
EIF3J-AS1,2863,1,0
ARPC1A,1702,1,0
TMEM120B,7461,1,0
KREMEN2,2339,1,0
ANKRD26,6827,1,0
ADA,1770,1,0
MOV10,4689,1,0
C6orf57,1196,1,0
RHOF,3009,1,0
PLAGL2,5705,1,0
MTDH,6177,1,0
EXO5,2567,1,0
AGMAT,2500,1,0
EXOG,2792,1,0
E2F5,5042,1,0
ALKBH4,2105,1,0
ZNF207,13781,1,0
DECR1,1766,1,0
SIK1,4712,1,0
MPEG1,4442,1,0
ROBO1,7501,1,0
TRIP4,2045,1,0
CTA-212A2.4,3578,1,0
HTT,14438,1,0
POM121C,5835,1,0
NPM1,1758,1,0
AP5S1,5362,1,0
MAGI2-AS3,8524,1,0
BNIP3,3066,1,0
AJUBA,4262,1,0
TNRC6A,8438,1,0
ARHGEF7,5525,1,0
ARHGEF4,4788,1,0
CDH3,4929,1,0
CDH7,12231,1,0
AC092066.1,2028,1,0
AC092171.2,753,1,0
ZNF506,4140,1,0
SLC5A5,3576,1,0
ZBTB3,2978,1,0
FMNL2,5575,1,0
RNF215,8141,1,0
RNF213,21055,1,0
MED29,3653,1,0
7-Sep,6952,1,0
PARP6,3657,1,0
ALDH4A1,3363,1,0
ZCCHC7,2828,1,0
C19orf43,988,1,0
ST14,3539,1,0
YTHDC2,6708,1,0
NOTO,2749,1,0
PDE6B,3280,1,0
ALB,2263,1,0
EIF2S2,2656,1,0
LILRA6,2825,1,0
LILRA2,4429,1,0
ZC3H11A,8404,1,0
CYB5R2,7463,1,0
CYB5R1,3033,1,0
DROSHA,5305,1,0
ARRDC3-AS1,2500,1,0
SOX5,6975,1,0
TGOLN2,6489,1,0
HR,6336,1,0
TMEM106B,12539,1,0
CRTC1,6929,1,0
MRPS27,4435,1,0
ABCC6,5747,1,0
ABCC2,5312,1,0
ENPP1,7442,1,0
ZZEF1,11456,1,0
SLC2A2,3210,1,0
AP5Z1,5660,1,0
AC007325.1,2404,1,0
TIMM21,3095,1,0
STRA13,894,1,0
GMPR2,2160,1,0
CFL1,1878,1,0
GTF2IRD1,5868,1,0
COL4A5,6483,1,0
KDM3A,8741,1,0
TMEM147,1783,1,0
MYBL2,2704,1,0
MBNL3,11294,1,0
SRSF7,2857,1,0
PPAPDC1B,2185,1,0
FAM160B2,4245,1,0
ZNF326,9433,1,0
EIF2AK2,10042,1,0
TIMM17A,2523,1,0
PIGC,2630,1,0
PIGF,3454,1,0
PIGO,6655,1,0
PIGT,2235,1,0
ATG2A,6357,1,0
C1orf35,3554,1,0
AC005150.1,628,1,0
CRY2,4204,1,0
WEE1,5187,1,0
PPP4R1,3925,1,0
AKAP9,12471,1,0
DNAJC5,5287,1,0
PMPCB,2472,1,0
GTF2H2C_2,1998,1,0
GUK1,2548,1,0
NCSTN,3031,1,0
ATM,13147,1,0
ARHGDIA,1906,1,0
ZNF99,7817,1,0
CDC16,2211,1,0
MED13L,14234,1,0
GPALPP1,5368,1,0
GMEB1,6410,1,0
SPDYE6,1691,1,0
KLF17,3131,1,0
NDUFS4,833,1,0
NDUFS7,3743,1,0
NDUFS8,3072,1,0
ZRANB2,3677,1,0
RHBDL2,2129,1,0
ZNF845,4311,1,0
ISCA2,2626,1,0
HMGA1,2159,1,0
SNRPB,1154,1,0
SNRPE,967,1,0
ZDHHC14,7380,1,0
DDX42,4337,1,0
E2F6,3450,1,0
IFITM2,892,1,0
KIAA0232,7841,1,0
AP1B1,4176,1,0
CXADR,6254,1,0
ACOT9,3117,1,0
ACOT2,1774,1,0
RBBP9,3861,1,0
RBBP5,4404,1,0
RBBP4,7943,1,0
NARF,3949,1,0
MIER3,5240,1,0
PAPD4,3523,1,0
CAPN10,4406,1,0
MLLT6,7578,1,0
TMEM39A,4393,1,0
PCDHA9,6900,1,0
LYRM1,1695,1,0
TMEM98,4434,1,0
RPS17,1922,1,0
PLCXD3,7704,1,0
GGT5,4020,1,0
PTPRU,5579,1,0
DMPK,3357,1,0
WDR31,4878,1,0
GIGYF2,7878,1,0
PCDHB13,5061,1,0
OLFML2A,6425,1,0
LTBP1,6333,1,0
MBD1,4905,1,0
CCDC12,2412,1,0
IRF3,2874,1,0
FGFRL1,3639,1,0
PARK2,4180,1,0
KIN,6348,1,0
POLR2J4,6466,1,0
IDH3B,1620,1,0
FAM124A,4761,1,0
TMEM254-AS1,3121,1,0
TATDN1,2016,1,0
NPHP1,10006,1,0
NPHP4,5548,1,0
ARF3,4105,1,0
RGS17,7773,1,0
CH507-42P11.8,4705,1,0
CLIP2,5563,1,0
CD46,7826,1,0
CLK3,10498,1,0
KCNG2,1538,1,0
OLA1,4417,1,0
CUL7,5504,1,0
OGG1,4977,1,0
CTB-12A17.2,2352,1,0
POLR2A,6751,1,0
ITFG2,2361,1,0
TMEM231,4278,1,0
TMEM230,1735,1,0
TMCO1,4468,1,0
EEF2K,7388,1,0
UACA,6939,1,0
ING1,5119,1,0
DCUN1D5,1535,1,0
GLA,1358,1,0
NOD1,4610,1,0
IL17RB,2822,1,0
IFNLR1,4549,1,0
MTMR9,7481,1,0
MTMR4,5839,1,0
FARP1,10262,1,0
STXBP3,2536,1,0
ENY2,2966,1,0
CDK6,11612,1,0
RERE,8026,1,0
PPIL6,4128,1,0
CCDC93,6899,1,0
RPL17,956,1,0
PHKA2,5559,1,0
MORF4L1,2359,1,0
FLT3LG,1301,1,0
CENPC,6940,1,0
CTC-559E9.1,2546,1,0
UBXN7,10568,1,0
ZNF778,11031,1,0
SPRTN,3559,1,0
MYH10,7762,1,0
LINC00957,2590,1,0
CBFB,3136,1,0
ADAR,6625,1,0
AC145124.2,1361,1,0
ZNF28,5171,1,0
PODXL,6170,1,0
AC005785.2,1771,1,0
PLCB1,7323,1,0
MOB3A,3391,1,0
A2M,4844,1,0
PRRT3,3761,1,0
LZTS2,5741,1,0
RFWD2,3033,1,0
SEMA3E,6476,1,0
CEBPB-AS1,2648,1,0
CREB3L2,7412,1,0
TOM1,2622,1,0
CNOT2,4753,1,0
ZFPM1,5380,1,0
SLC12A4,4765,1,0
SLC12A7,5280,1,0
SLC12A1,8632,1,0
CCDC127,9342,1,0
STK25,4619,1,0
CXorf36,4655,1,0
CRACR2A,7554,1,0
PSME1,1136,1,0
MT-CO3,784,1,0
DKFZP434L187,4260,1,0
EXOC3L2,1719,1,0
CLSTN1,5221,1,0
CDS2,9298,1,0
TATDN2,5342,1,0
PABPC1,3485,1,0
DQX1,2689,1,0
SORL1,10904,1,0
POLD1,3542,1,0
MGME1,2336,1,0
AC010287.1,599,1,0
SH2B3,5406,1,0
CYB5A,5913,1,0
LETMD1,2948,1,0
MTMR12,5187,1,0
PTCHD1,13714,1,0
TCEB1,2780,1,0
CIZ1,2996,1,0
PPM1D,4778,1,0
GINS4,3873,1,0
ALG10B,10253,1,0
ADI1,3870,1,0
11-Sep,5593,1,0
SH3D19,5284,1,0
FAM154B,3134,1,0
VSIG10,4946,1,0
NUCB2,3256,1,0
SOCS7,7978,1,0
PPP2CA,4649,1,0
ABHD15,3592,1,0
ARPC3,1098,1,0
ARPC5,7209,1,0
ITPR2,11405,1,0
ITPR1,10242,1,0
AP006222.2,2257,1,0
IGF1R,11803,1,0
CTNNB1,3737,1,0
VWCE,3640,1,0
FAM73A,6409,1,0
FAM73B,4345,1,0
MYADM,3186,1,0
RP5-1185I7.1,1965,1,0
TOX3,3414,1,0
FYTTD1,6866,1,0
KIAA1614,9654,1,0
TNPO1,11183,1,0
METTL8,8203,1,0
METTL3,2523,1,0
PDPK1,7241,1,0
GSTM3,4046,1,0
IL15,6026,1,0
MYO18A,7597,1,0
SOAT1,6861,1,0
GRIPAP1,3278,1,0
TTC7B,19458,1,0
LINC00174,4702,1,0
NUBP1,1228,1,0
PTK2B,4719,1,0
TXNRD2,3130,1,0
FBXO22,10725,1,0
MCM9,7592,1,0
SQSTM1,2986,1,0
POU2F1,14332,1,0
C1orf122,2229,1,0
LINC01447,2761,1,0
LAMTOR5,1830,1,0
GYLTL1B,2528,1,0
HIPK1-AS1,2117,1,0
ANAPC15,1481,1,0
TMEM170A,4959,1,0
CCDC66,3120,1,0
MRPS34,1040,1,0
TBC1D4,6364,1,0
MRPS33,4241,1,0
SNUPN,1931,1,0
AC058791.1,6411,1,0
FRMD4A,6821,1,0
RPS27A,1159,1,0
TAF10,5392,1,0
NDUFV1,1748,1,0
F2,2023,1,0
DNAJC22,4412,1,0
NCK2,2683,1,0
TAMM41,2768,1,0
TYW3,3430,1,0
GPR37L1,6588,1,0
SPATA20,3539,1,0
CYC1,1832,1,0
SCAMP2,3162,1,0
ZNF445,10052,1,0
ZNF443,2663,1,0
SERAC1,5155,1,0
FAM175A,4291,1,0
XKR4,19880,1,0
ARMC5,4844,1,0
TTR,1040,1,0
CYP4F3,5050,1,0
ASB6,4535,1,0
ZNF600,3829,1,0
AZGP1,2027,1,0
PRPF40A,8048,1,0
C4B_2,5460,1,0
PAPOLG,6074,1,0
WDR66,4675,1,0
XXbac-BPG154L12.4,3458,1,0
WEE2-AS1,2262,1,0
SLC25A6,2062,1,0
RPSA,2058,1,0
RPL22,2279,1,0
ABHD2,8735,1,0
ABHD1,3107,1,0
TRIM38,9413,1,0
COMMD4,4204,1,0
ZMYM6,6241,1,0
ZMYM5,3268,1,0
KLB,6082,1,0
ANO9,5487,1,0
POLR2E,2831,1,0
RGMA,11350,1,0
APOBEC3D,2528,1,0
APOBEC3G,2775,1,0
GIPR,3289,1,0
KLHDC7A,5145,1,0
SLC1A5,2882,1,0
NOMO3,4356,1,0
NOMO1,4355,1,0
BAZ1A,6010,1,0
SLC2A3,4414,1,0
TBC1D32,5323,1,0
CREBBP,10803,1,0
AC011747.4,8839,1,0
SF3B2,3932,1,0
RLIM,8317,1,0
AKNA,7380,1,0
LSM3,3815,1,0
KRT80,3894,1,0
LINC00574,2318,1,0
DPP4,3904,1,0
NDUFB10,958,1,0
STMN1,2947,1,0
SHOX,3757,1,0
CHRNB4,2623,1,0
TECR,2899,1,0
RBL2,4906,1,0
TMEM106C,1515,1,0
CTA-929C8.9,24997,1,0
CYP2W1,2361,1,0
C17orf89,741,1,0
C17orf85,12770,1,0
MGAT4A,8432,1,0
PLEKHA6,7401,1,0
PEAK1,19217,1,0
C14orf79,2503,1,0
MYH9,7501,1,0
CADM1,8588,1,0
PIP5K1C,5080,1,0
PHF19,4241,1,0
UBN2,14444,1,0
SYNGAP1,9862,1,0
SUGT1,14131,1,0
GCLM,4857,1,0
C21orf59,2503,1,0
CEP170B,6813,1,0
DLEU2,3068,1,0
ZNF526,4023,1,0
PIM3,2369,1,0
AP001626.2,2854,1,0
GPX8,3422,1,0
RCAN3,6802,1,0
MCFD2,4210,1,0
TIMM50,2576,1,0
HPS4,6136,1,0
SDR39U1,2336,1,0
CLEC10A,1800,1,0
USP3,5499,1,0
ZNF720,5994,1,0
RPL8,1041,1,0
PRPSAP1,3660,1,0
NIN,10293,1,0
CEP162,5156,1,0
PDE4C,5979,1,0
MTR,10529,1,0
TMOD2,9191,1,0
ZNF76,4651,1,0
ACAP2,7160,1,0
AC005329.7,3571,1,0
SPATS2,3320,1,0
SLC7A14,10103,1,0
SLC7A11,9645,1,0
PTRF,3828,1,0
